title,calc_country,d_startDate,calc_subMinorCategory,calc_lastUpdate,calc_githubURL
Prospective observatories on jobs and qualifications,France,01/01/2004,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/29/2022,https://static.eurofound.europa.eu/covid19db/cases/FR-2004-1_2454.html
Re-employment units,France,12/01/1989,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",04/01/2023,https://static.eurofound.europa.eu/covid19db/cases/FR-1989-48_2455.html
Professional security contract,France,09/01/2011,Transfer or redeployment of workers ,07/06/2023,https://static.eurofound.europa.eu/covid19db/cases/FR-2011-36_2456.html
Short-time working support,Austria,03/15/2020,"Income support for people in employment (e.g., short-time work)",11/09/2022,https://static.eurofound.europa.eu/covid19db/cases/AT-2020-12_2457.html
Temporary unemployment support,Belgium,02/23/1993,"Income support for people in employment (e.g., short-time work)",11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/BE-1993-9_2458.html
Partial unemployment,Czechia,01/01/2007,"Income support for people in employment (e.g., short-time work)",10/11/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2007-1_2504.html
Short-time working allowance,Germany,01/01/1957,"Income support for people in employment (e.g., short-time work)",11/10/2022,https://static.eurofound.europa.eu/covid19db/cases/DE-1957-1_2460.html
Work-sharing,Denmark,12/15/2020,"Income support for people in employment (e.g., short-time work)",11/23/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-2020-51_2461.html
Temporary layoff plan,Spain,03/14/1980,"Income support for people in employment (e.g., short-time work)",11/03/2022,https://static.eurofound.europa.eu/covid19db/cases/ES-1980-11_2462.html
Partial unemployment,Luxembourg,07/31/2006,"Income support for people in employment (e.g., short-time work)",11/14/2022,https://static.eurofound.europa.eu/covid19db/cases/LU-2006-31_2463.html
Temporary layoffs,Norway,01/01/1947,Deferral of payments or liabilities,11/08/2022,https://static.eurofound.europa.eu/covid19db/cases/NO-1947-1_2464.html
Partial unemployment benefit,Portugal,11/03/2006,"Income support for people in employment (e.g., short-time work)",10/20/2022,https://static.eurofound.europa.eu/covid19db/cases/PT-2006-44_2465.html
Rapid Response Service (RRS),United Kingdom,04/01/2002,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",01/04/2023,https://static.eurofound.europa.eu/covid19db/cases/GB-2002-14_2466.html
Union Learning Fund (ULF),United Kingdom,01/01/1998,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",01/04/2023,https://static.eurofound.europa.eu/covid19db/cases/GB-1998-1_2467.html
Training and retraining for workers threatened by redundancies,Poland,05/01/2004,Matching/networking,11/25/2022,https://static.eurofound.europa.eu/covid19db/cases/PL-2004-18_2468.html
SARIO (Slovak Investments and Trade Development Agency),Slovakia,10/01/2001,Change of production/Innovation,11/17/2022,https://static.eurofound.europa.eu/covid19db/cases/SK-2001-40_2469.html
Business trends survey (including employment forecasts),Lithuania,05/01/1993,Smoothing frictions or reallocation of workers,10/28/2022,https://static.eurofound.europa.eu/covid19db/cases/LT-1993-18_2470.html
Short Term Labour Market Forecast,Hungary,10/01/2006,Other,11/22/2022,https://static.eurofound.europa.eu/covid19db/cases/HU-2006-40_2471.html
Labour Utilisation Survey,Hungary,10/01/2005,Smoothing frictions or reallocation of workers,11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/HU-2005-40_2472.html
Micro enterprise and SME support programme,Hungary,01/01/2002,Access to finance,10/26/2022,https://static.eurofound.europa.eu/covid19db/cases/HU-2002-1_2473.html
Ad hoc cooperation agreement,Hungary,07/01/2012,Transfer or redeployment of workers ,10/26/2022,https://static.eurofound.europa.eu/covid19db/cases/HU-2012-27_2474.html
Territorial Employment Pacts,Hungary,01/01/2014,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",10/26/2022,https://static.eurofound.europa.eu/covid19db/cases/HU-2014-1_2475.html
Statutory risk management systems in public companies ,Germany,05/01/1998,Smoothing frictions or reallocation of workers,11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/DE-1998-18_2476.html
Recognition of Prior Learning (RPL),Netherlands,11/01/2006,Transfer or redeployment of workers ,11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-2006-44_2477.html
Sectoral training and development funds,Netherlands,01/01/1973,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-1973-1_2478.html
Regionale mobiliteitsteams (RMT's),Netherlands,04/29/2021,Transfer or redeployment of workers ,11/22/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-2021-18_2479.html
Temporary suspended employment in the Tourism/Catering industry,Cyprus,01/01/1988,"Income support for people in employment (e.g., short-time work)",11/17/2022,https://static.eurofound.europa.eu/covid19db/cases/CY-1988-1_2480.html
Job rotation,Denmark,12/22/2010,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/23/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-2010-52_2481.html
Warning pool,Denmark,08/10/2020,Flexibilisation and security,11/23/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-2020-33_2482.html
IDA Ireland,Ireland,01/01/1949,Matching/networking,11/11/2022,https://static.eurofound.europa.eu/covid19db/cases/IE-1949-1_2483.html
Job security councils,Sweden,10/25/1974,Matching/networking,11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/SE-1974-43_2484.html
The Public Employment Service's forcast ('the occupational compass'),Sweden,02/01/2008,Smoothing frictions or reallocation of workers,11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/SE-2008-5_2485.html
Accrediting Prior Experiential Learning (APEL),Estonia,01/01/2005,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",10/21/2022,https://static.eurofound.europa.eu/covid19db/cases/EE-2005-1_2486.html
 Labour force and skills demand forecasts,Estonia,04/01/2015,Smoothing frictions or reallocation of workers,11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/EE-2015-14_2487.html
Response service to collective redundancies,Estonia,01/01/2005,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/EE-2005-1_2488.html
Career consultations,Latvia,10/18/2022,Smoothing frictions or reallocation of workers,10/25/2022,https://static.eurofound.europa.eu/covid19db/cases/LV-2022-43_2489.html
Clusters programme (Luxembourg Cluster Initiative),Luxembourg,06/01/1984,Matching/networking,11/23/2023,https://static.eurofound.europa.eu/covid19db/cases/LU-1984-22_2490.html
The skills of tomorrow,Luxembourg,10/10/2002,Smoothing frictions or reallocation of workers,11/23/2023,https://static.eurofound.europa.eu/covid19db/cases/LU-2002-41_2491.html
Observatory of continuous vocational training,Luxembourg,12/01/1992,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/23/2023,https://static.eurofound.europa.eu/covid19db/cases/LU-1992-49_2492.html
Accreditation of prior and experiential learning,Luxembourg,01/11/2010,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/14/2022,https://static.eurofound.europa.eu/covid19db/cases/LU-2010-3_2493.html
'Change Security' model,Finland,07/01/2005,Transfer or redeployment of workers ,06/19/2023,https://static.eurofound.europa.eu/covid19db/cases/FI-2005-27_2494.html
Monthly surveys of employers,Malta,01/01/2022,Smoothing frictions or reallocation of workers,11/11/2022,https://static.eurofound.europa.eu/covid19db/cases/MT-2022-1_2495.html
Device for the assessment and recognition of competence,Spain,01/18/2008,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/03/2022,https://static.eurofound.europa.eu/covid19db/cases/ES-2008-3_2496.html
National Catalogue for Qualifications,Portugal,07/23/2009,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",10/20/2022,https://static.eurofound.europa.eu/covid19db/cases/PT-2009-30_2497.html
Information and Management System of the Education and Training Offer,Portugal,07/08/2010,Smoothing frictions or reallocation of workers,10/20/2022,https://static.eurofound.europa.eu/covid19db/cases/PT-2010-28_2498.html
Work foundation (outplacement),Austria,01/01/1995,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/04/2022,https://static.eurofound.europa.eu/covid19db/cases/AT-1995-1_2500.html
Employers' groupings,Germany,01/01/2004,Transfer or redeployment of workers ,11/10/2022,https://static.eurofound.europa.eu/covid19db/cases/DE-2004-1_2501.html
Transitional employment agency or transitional company,Germany,01/01/1998,Changes of working hours or work arrangements,11/10/2022,https://static.eurofound.europa.eu/covid19db/cases/DE-1998-1_2502.html
Builders’ Social House,Romania,01/01/1998,Matching/networking,11/14/2022,https://static.eurofound.europa.eu/covid19db/cases/RO-1998-1_2503.html
Reconversion cells,Belgium,04/06/2006,Transfer or redeployment of workers ,11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/BE-2006-14_2999.html
Industrial parks and Industrial zones,Slovakia,01/01/2000,Access to finance,11/29/2022,https://static.eurofound.europa.eu/covid19db/cases/SK-2000-1_2505.html
Temporary suspension of employment and reemployment commitments,Austria,06/01/2012,"Income support for people in employment (e.g., short-time work)",11/04/2022,https://static.eurofound.europa.eu/covid19db/cases/AT-2012-22_2506.html
Sectoral restructuring plans,Spain,07/01/1978,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",10/13/2022,https://static.eurofound.europa.eu/covid19db/cases/ES-1978-26_2507.html
Restructuring card,Belgium,07/01/2004,Income support for unemployed,11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/BE-2004-27_2508.html
Employer groups,France,07/25/1985,Working time flexibility,11/29/2022,https://static.eurofound.europa.eu/covid19db/cases/FR-1985-30_2509.html
Micro-credit Guarantee Fund,Bulgaria,01/01/2011,Access to finance,11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/BG-2011-1_2510.html
Interprofessional paritarian funds for continuous training,Italy,12/23/2000,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/IT-2000-52_2511.html
Sector Skills Councils,United Kingdom,09/01/2002,Smoothing frictions or reallocation of workers,01/03/2023,https://static.eurofound.europa.eu/covid19db/cases/GB-2002-36_2512.html
Union learning representatives (ULRs),United Kingdom,01/01/2003,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",01/03/2023,https://static.eurofound.europa.eu/covid19db/cases/GB-2003-1_2513.html
Labour consultant,Sweden,10/13/1982,Smoothing frictions or reallocation of workers,11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/SE-1982-42_2514.html
Flexpool,Netherlands,01/01/2013,Transfer or redeployment of workers ,10/26/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-2013-1_2515.html
Employer group,Belgium,08/12/2000,"Change of work arrangements (working time, rota schemes)",11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/BE-2000-33_2516.html
Competence Development Funds,Denmark,06/01/2007,Transfer or redeployment of workers ,11/23/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-2007-22_2517.html
Skillnet Ireland,Ireland,01/01/1999,Matching/networking,11/11/2022,https://static.eurofound.europa.eu/covid19db/cases/IE-1999-1_2518.html
Training fund in enterprises,Poland,05/01/2004,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/25/2022,https://static.eurofound.europa.eu/covid19db/cases/PL-2004-18_2519.html
Mini labour exchange,Lithuania,05/31/2013,Smoothing frictions or reallocation of workers,10/26/2022,https://static.eurofound.europa.eu/covid19db/cases/LT-2013-22_2520.html
Implacement work foundation,Austria,01/01/1995,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",10/28/2022,https://static.eurofound.europa.eu/covid19db/cases/AT-1995-1_2521.html
Qualification barometer,Austria,03/01/2015,Smoothing frictions or reallocation of workers,10/28/2022,https://static.eurofound.europa.eu/covid19db/cases/AT-2015-10_2522.html
The right of employers to reduce salary and working time,Estonia,04/15/1992,"Change of work arrangements (working time, rota schemes)",11/03/2022,https://static.eurofound.europa.eu/covid19db/cases/EE-1992-16_2523.html
Working time account ,Slovakia,01/01/2012,Working time flexibility,11/11/2022,https://static.eurofound.europa.eu/covid19db/cases/SK-2012-1_2524.html
i2 - Business Angels,Austria,01/01/2017,Change of production/Innovation,03/02/2023,https://static.eurofound.europa.eu/covid19db/cases/AT-2017-1_2525.html
Succession bourse,Austria,01/01/2009,Matching/networking,11/04/2022,https://static.eurofound.europa.eu/covid19db/cases/AT-2009-1_2526.html
Collective Research Centres - patents unit,Belgium,01/01/2011,Change of production/Innovation,11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/BE-2011-1_2527.html
Industrial researchers,Denmark,03/29/2014,Matching/networking,11/17/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-2014-13_2528.html
Enterprise Finland,Finland,04/04/2002,Creation of platforms for businesses aimed at customer,11/04/2022,https://static.eurofound.europa.eu/covid19db/cases/FI-2002-14_2529.html
INVEST - Grant for venture capital,Germany,05/01/2013,Matching/networking,11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/DE-2013-18_2530.html
Enterprise Ireland Mentor Network,Ireland,01/01/2008,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/11/2022,https://static.eurofound.europa.eu/covid19db/cases/IE-2008-1_2531.html
Business Angels,Luxembourg,10/01/2004,Matching/networking,11/14/2022,https://static.eurofound.europa.eu/covid19db/cases/LU-2004-40_2532.html
SIVA (The Industrial Development Corporation of Norway),Norway,01/01/1968,Change of production/Innovation,11/03/2022,https://static.eurofound.europa.eu/covid19db/cases/NO-1968-1_2533.html
Business Angels,Spain,09/27/2013,Matching/networking,11/03/2022,https://static.eurofound.europa.eu/covid19db/cases/ES-2013-39_2534.html
Successors bourse,Luxembourg,06/01/2000,Matching/networking,11/23/2023,https://static.eurofound.europa.eu/covid19db/cases/LU-2000-23_2535.html
Team Finland - Services supporting the internationalisation of businesses,Finland,02/01/2013,Smoothing frictions or reallocation of workers,11/04/2022,https://static.eurofound.europa.eu/covid19db/cases/FI-2013-5_2536.html
BusinessInfo.cz – web portal for Czech businesses,Czechia,01/01/2002,Access to finance,11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2002-1_2537.html
Short-term Export Credit Insurance Scheme,Greece,03/19/2020,Measures related to foreign trade,04/01/2023,https://static.eurofound.europa.eu/covid19db/cases/GR-2020-12_2538.html
BNOA - National exchange for craft opportunities,France,01/01/2015,Matching/networking,12/05/2022,https://static.eurofound.europa.eu/covid19db/cases/FR-2015-1_2539.html
Successor bourse,Belgium,01/01/2016,Matching/networking,11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/BE-2016-1_2540.html
SOWACCESS (Walloon company of merger/acquisition and closure/bankruptcy),Belgium,01/01/2006,Matching/networking,11/10/2022,https://static.eurofound.europa.eu/covid19db/cases/BE-2006-1_2541.html
Transenterprises,France,01/01/1985,Matching/networking,11/29/2022,https://static.eurofound.europa.eu/covid19db/cases/FR-1985-1_2542.html
Company employment pacts,Germany,07/01/1992,Wage flexibility ,11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/DE-1992-27_2543.html
Temporary layoff,Finland,01/26/2001,"Income support for people in employment (e.g., short-time work)",11/08/2022,https://static.eurofound.europa.eu/covid19db/cases/FI-2001-4_2544.html
CzechInvest – Investment and Business Development Agency,Czechia,01/01/1992,Matching/networking,11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-1992-1_2546.html
Innovation Norway,Norway,01/01/2004,Change of production/Innovation,11/03/2022,https://static.eurofound.europa.eu/covid19db/cases/NO-2004-1_2547.html
The Research Council of Norway (RCN),Norway,01/01/1993,Change of production/Innovation,11/03/2022,https://static.eurofound.europa.eu/covid19db/cases/NO-1993-1_2548.html
Altinn (Start and run business),Norway,12/04/2003,Access to finance,10/20/2022,https://static.eurofound.europa.eu/covid19db/cases/NO-2003-49_2549.html
Export Credit Norway,Norway,06/25/2012,Measures related to foreign trade,11/08/2022,https://static.eurofound.europa.eu/covid19db/cases/NO-2012-26_2550.html
GIEK,Norway,01/01/1960,Measures related to foreign trade,11/08/2022,https://static.eurofound.europa.eu/covid19db/cases/NO-1960-1_2551.html
Norwegian Innovation Clusters,Norway,06/01/2014,Change of production/Innovation,11/09/2022,https://static.eurofound.europa.eu/covid19db/cases/NO-2014-23_2552.html
ALMI Företagspartner business enterprise,Sweden,01/01/1994,Change of production/Innovation,11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/SE-1994-1_2553.html
Support for starting a business,Sweden,01/01/1984,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/SE-1984-1_2554.html
Consulting on business knowledge,Germany,01/01/2016,Access to finance,11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/DE-2016-1_2555.html
Regional monitoring of structural developments,Germany,01/01/1995,Changes of management approach,11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/DE-1995-1_2556.html
Nexxt-change (Exchange mechanism for people interested in business start-ups and enterprise owners),Germany,01/01/2006,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/DE-2006-1_2557.html
Local Development Agency - Barcelona Activa,Spain,01/01/1986,Other,11/03/2022,https://static.eurofound.europa.eu/covid19db/cases/ES-1986-1_2558.html
Commissioner to productive recovery,France,06/29/2018,Matching/networking,11/23/2022,https://static.eurofound.europa.eu/covid19db/cases/FR-2018-26_2559.html
Fund for the protection of employees' rights in case of employer insolvency,Cyprus,03/09/2001,Extensions of income support to workers not covered by any kind of protection scheme,11/17/2022,https://static.eurofound.europa.eu/covid19db/cases/CY-2001-10_2560.html
Employment mediation service by Unemployment Insurance Fund,Estonia,01/01/2006,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/04/2022,https://static.eurofound.europa.eu/covid19db/cases/EE-2006-1_2561.html
Regional labour market information,Netherlands,01/01/2012,Smoothing frictions or reallocation of workers,10/26/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-2012-1_2562.html
SME Academy,Portugal,03/24/2009,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/14/2022,https://static.eurofound.europa.eu/covid19db/cases/PT-2009-13_2563.html
"LAEK, Special Fund for the Employment and Vocational Training",Greece,04/21/1996,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",12/06/2022,https://static.eurofound.europa.eu/covid19db/cases/GR-1996-17_2564.html
Go international!,Austria,01/01/2003,Measures related to foreign trade,11/09/2022,https://static.eurofound.europa.eu/covid19db/cases/AT-2003-1_2565.html
Export Window,Slovenia,01/02/2013,Matching/networking,11/08/2022,https://static.eurofound.europa.eu/covid19db/cases/SI-2013-1_2566.html
National Innovation Fund (NIF): Strengthen technological capacity,Bulgaria,01/01/2005,Change of production/Innovation,11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/BG-2005-1_2567.html
Cyprus Investment Promotion Agency (CIPA),Cyprus,01/01/2008,Access to finance,11/17/2022,https://static.eurofound.europa.eu/covid19db/cases/CY-2008-1_2568.html
Regional Business Development Centres,Denmark,01/01/2019,Change of production/Innovation,11/17/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-2019-1_2569.html
Guide to growth,Denmark,10/01/2019,Other,11/17/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-2019-40_2570.html
Innovation voucher programme,Ireland,01/01/2007,Change of production/Innovation,11/11/2022,https://static.eurofound.europa.eu/covid19db/cases/IE-2007-1_2571.html
Innovation club in the craft sector,Luxembourg,09/17/2008,Change of production/Innovation,11/22/2023,https://static.eurofound.europa.eu/covid19db/cases/LU-2008-38_2572.html
Transfer loan,Luxembourg,09/02/2011,Access to finance,11/23/2023,https://static.eurofound.europa.eu/covid19db/cases/LU-2011-36_2573.html
Innovation Contracts,Norway,07/01/2010,Change of production/Innovation,11/08/2022,https://static.eurofound.europa.eu/covid19db/cases/NO-2010-27_2574.html
Grant scheme to support businesses’ internationalisation,Poland,04/01/2020,Measures related to foreign trade,11/28/2022,https://static.eurofound.europa.eu/covid19db/cases/PL-2020-14_2575.html
Pre-redundancy counselling services,Romania,01/16/2002,Transfer or redeployment of workers ,11/17/2022,https://static.eurofound.europa.eu/covid19db/cases/RO-2002-3_2576.html
National Labour Exchange,Italy,09/10/2003,Smoothing frictions or reallocation of workers,11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/IT-2003-37_2577.html
Rapid reports,Slovenia,09/30/1976,Other,11/08/2022,https://static.eurofound.europa.eu/covid19db/cases/SI-1976-40_2578.html
Publications of the Institute of Macroeconomic Analysis and Development,Slovenia,09/30/1976,Other,12/06/2022,https://static.eurofound.europa.eu/covid19db/cases/SI-1976-40_2579.html
Internationalisation activities of the Estonian Business and Innovation Agency,Estonia,05/26/1994,Measures related to foreign trade,11/04/2022,https://static.eurofound.europa.eu/covid19db/cases/EE-1994-22_2580.html
Entrepreneurship related measures by the Estonian Business and Innovation Agency,Estonia,01/01/2001,Change of production/Innovation,11/15/2022,https://static.eurofound.europa.eu/covid19db/cases/EE-2001-1_2581.html
In-house training (BIO),Norway,01/01/2016,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/03/2022,https://static.eurofound.europa.eu/covid19db/cases/NO-2016-1_2582.html
Provision of training,Poland,05/01/2004,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/28/2022,https://static.eurofound.europa.eu/covid19db/cases/PL-2004-18_2583.html
Special economic zones (SEZ),Poland,10/09/1995,Direct subsidies (full or partial) or damage compensation,11/25/2022,https://static.eurofound.europa.eu/covid19db/cases/PL-1995-41_2584.html
Wage Guarantee Fund,Hungary,11/02/1994,"Income support for people in employment (e.g., short-time work)",11/10/2022,https://static.eurofound.europa.eu/covid19db/cases/HU-1994-45_2585.html
Guarantee Fund,Lithuania,10/01/2000,"Income support for people in employment (e.g., short-time work)",10/26/2022,https://static.eurofound.europa.eu/covid19db/cases/LT-2000-41_2586.html
Guarantee Fund,Slovakia,01/01/2004,Income support for unemployed,11/17/2022,https://static.eurofound.europa.eu/covid19db/cases/SK-2004-1_2587.html
Employment continuation – subsidising employment with another employer,Croatia,01/01/2012,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/HR-2012-1_2588.html
Non-working Friday – support for preserving jobs,Croatia,06/30/2014,"Income support for people in employment (e.g., short-time work)",11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/HR-2014-27_2998.html
Mobile teams of the Croatian employment service,Croatia,01/01/2001,Smoothing frictions or reallocation of workers,11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/HR-2001-1_2590.html
Tax incentives for technology investment,Croatia,09/25/2015,Change of production/Innovation,11/04/2022,https://static.eurofound.europa.eu/covid19db/cases/HR-2015-39_2591.html
Subsidy for creating new jobs,Croatia,09/25/2015,Direct subsidies (full or partial) or damage compensation,11/04/2022,https://static.eurofound.europa.eu/covid19db/cases/HR-2015-39_2592.html
Funding justifiable costs of vocational training,Croatia,09/25/2015,Change of production/Innovation,11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/HR-2015-39_2593.html
Flexible working time,Portugal,07/17/2017,Working time flexibility,11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/PT-2017-29_2594.html
Start-up promotion law,Austria,01/01/2012,"Support for spending, stimulus packages",10/21/2022,https://static.eurofound.europa.eu/covid19db/cases/AT-2012-1_2595.html
Encouraging micro enterprise employers to hire unemployed,Bulgaria,01/01/2003,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/04/2022,https://static.eurofound.europa.eu/covid19db/cases/BG-2003-1_2596.html
Sikoflex,Germany,07/04/2002,"Income support for people in employment (e.g., short-time work)",11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/DE-2002-27_2597.html
Temporary reduction of activity,Romania,12/31/2020,"Income support for people in employment (e.g., short-time work)",07/11/2023,https://static.eurofound.europa.eu/covid19db/cases/RO-2020-53_2598.html
IMK Economic Performance Indicator,Germany,01/01/2008,Smoothing frictions or reallocation of workers,11/10/2022,https://static.eurofound.europa.eu/covid19db/cases/DE-2008-1_2599.html
IAB-Establishment Panel,Germany,01/01/1993,Smoothing frictions or reallocation of workers,11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/DE-1993-1_2600.html
The Moravian-Silesian Employment Pact (MSEP),Czechia,02/01/2011,Smoothing frictions or reallocation of workers,11/10/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2011-6_2601.html
Plato Ireland,Ireland,01/01/1995,Other,11/18/2022,https://static.eurofound.europa.eu/covid19db/cases/IE-1995-1_2602.html
Insolvency Income Fund,Austria,06/02/1977,"Income support for people in employment (e.g., short-time work)",11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/AT-1977-23_2603.html
Insolvency Service,United Kingdom,01/01/1990,"Income support for people in employment (e.g., short-time work)",01/04/2023,https://static.eurofound.europa.eu/covid19db/cases/GB-1990-1_2604.html
Benefits in case of employer insolvency,Estonia,01/01/2002,"Income support for people in employment (e.g., short-time work)",11/04/2022,https://static.eurofound.europa.eu/covid19db/cases/EE-2002-1_2605.html
Pay Security Act (866/1998),Finland,11/27/1998,"Income support for people in employment (e.g., short-time work)",11/08/2022,https://static.eurofound.europa.eu/covid19db/cases/FI-1998-48_2606.html
Wage Guarantee Fund for labour related credits,Italy,05/29/1982,"Income support for people in employment (e.g., short-time work)",11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/IT-1982-22_2607.html
Different conditions of employment in exceptional circumstances,Malta,12/27/2002,Working time flexibility,11/14/2022,https://static.eurofound.europa.eu/covid19db/cases/MT-2002-52_2608.html
Wage guarantee fund,Malta,01/01/2003,"Income support for people in employment (e.g., short-time work)",11/11/2022,https://static.eurofound.europa.eu/covid19db/cases/MT-2003-1_2609.html
Pay guarantee regulation/Unemployment Insurance Act,Netherlands,11/06/1986,"Income support for people in employment (e.g., short-time work)",10/26/2022,https://static.eurofound.europa.eu/covid19db/cases/NL-1986-45_2610.html
Employment fund,Luxembourg,06/30/1976,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",11/22/2023,https://static.eurofound.europa.eu/covid19db/cases/LU-1976-27_2611.html
Wage guarantee fund,France,02/01/1974,Income support for unemployed,11/23/2022,https://static.eurofound.europa.eu/covid19db/cases/FR-1974-5_2612.html
Business Support and Economic Development Observatory,France,01/01/2015,Access to finance,11/29/2022,https://static.eurofound.europa.eu/covid19db/cases/FR-2015-1_2613.html
Early Warning,Denmark,06/01/2007,Other,11/11/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-2007-22_2614.html
The Growth Fund,Denmark,05/01/1992,Change of production/Innovation,11/17/2022,https://static.eurofound.europa.eu/covid19db/cases/DK-1992-18_2615.html
Credit mediation structure,France,10/23/2008,Rescue procedures in case of insolvency or adaptation of insolvency regulation,11/29/2022,https://static.eurofound.europa.eu/covid19db/cases/FR-2008-43_2616.html
Go International Slovenia,Slovenia,04/20/2011,Matching/networking,11/07/2022,https://static.eurofound.europa.eu/covid19db/cases/SI-2011-17_2617.html
PACE- Partnership Action for Continuing Employment,United Kingdom,01/01/2009,"Active labour market policies (enhancing employability, training, subsidised job creation, etc.)",01/04/2023,https://static.eurofound.europa.eu/covid19db/cases/GB-2009-1_2618.html
ICEX NEXT,Spain,01/01/2012,Measures related to foreign trade,11/03/2022,https://static.eurofound.europa.eu/covid19db/cases/ES-2012-1_2619.html
Fund for the internalisation of the company (FIEM),Spain,06/28/2010,Measures related to foreign trade,11/03/2022,https://static.eurofound.europa.eu/covid19db/cases/ES-2010-27_2620.html
Wage guarantee in case of employer insolvency,Belgium,01/01/2011,"Income support for people in employment (e.g., short-time work)",11/02/2022,https://static.eurofound.europa.eu/covid19db/cases/BE-2011-1_2621.html
Wage guarantee in case of insolvency,Czechia,04/01/2000,"Income support for people in employment (e.g., short-time work)",11/17/2022,https://static.eurofound.europa.eu/covid19db/cases/CZ-2000-14_2622.html
